Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Office of the Chief Electoral Officer Assam,ELE.229/2019/Pt/153,2023_CEO_31938_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Document,04-Aug-2023 02:00 PM,28-Aug-2023 11:00 AM,04-Aug-2023 02:00 PM,25-Aug-2023 04:00 PM,04-Aug-2023 02:00 PM ,08-Aug-2023 04:00 PM ,05-Aug-2023 10:00 AM,25-Aug-2023 04:00 PM,20-Sep-2023 01:35 PM,"1,00,000",No,fixed,,Nil,Nil,1.0,Technical Corrigendum,Technical Bid,,1.0,SBI Bank,"2,000",Nil,Nil,No,Chief Electoral Officer,"OFFICE OF THE CHIE ELECTORAL OFFICER, ASSAM GUWAHATI - 781006","OUTREACH AND SOCIAL MEDIA MANAGEMENT UNDER CHIEF ELECTORAL OFFICER, ASSAM","OUTREACH AND SOCIAL MEDIA MANAGEMENT UNDER CHIEF ELECTORAL OFFICER, ASSAM",Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,180.0,NA ,Guwahati,781006.0,NA ,NA ,NA ,"OFFICE OF THE CHIE ELECTORAL OFFICER, ASSAM,GHY-06",No ,No,Office of the Chief Electoral Officer Assam,ELE.229/2019/Pt/153,2023_CEO_31938_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Document,04-Aug-2023 02:00 PM,28-Aug-2023 11:00 AM,04-Aug-2023 02:00 PM,25-Aug-2023 04:00 PM,04-Aug-2023 02:00 PM ,08-Aug-2023 04:00 PM ,05-Aug-2023 10:00 AM,25-Aug-2023 04:00 PM,20-Sep-2023 01:35 PM,"1,00,000",No,fixed,,Nil,Nil,1.0,Technical Corrigendum,Technical Bid,,1.0,SBI Bank,"2,000",Nil,Nil,No,Chief Electoral Officer,"OFFICE OF THE CHIE ELECTORAL OFFICER, ASSAM GUWAHATI - 781006","OUTREACH AND SOCIAL MEDIA MANAGEMENT UNDER CHIEF ELECTORAL OFFICER, ASSAM","OUTREACH AND SOCIAL MEDIA MANAGEMENT UNDER CHIEF ELECTORAL OFFICER, ASSAM",Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,180.0,NA ,Guwahati,781006.0,NA ,NA ,NA ,"OFFICE OF THE CHIE ELECTORAL OFFICER, ASSAM,GHY-06",No ,No,28-Feb-2024,"INR 244,680",365.0,Anurag Goel,28-Feb-2024 03:18 PM,AocSocialMediaOutreach.pdf (624.00 KB),1.0,196710.0,NOVO COMPUTING,INR,"244,680",1.0,196421.0,Exclusive Advertising Private Limited,24-Aug-2023 06:03 PM,Rejected-AOC,Not Awarded,28-Feb-2024 03:18 PM,Finance,Financial bid has been opened,Anurag Goel,20-Sep-2023 01:46 PM,None,BOQ Comparative Chart,Chief Electoral Officer,Internal,,Anurag Goel,21-Sep-2023 05:04 PM,finsummary_51184.pdf (303.05 KB),1.0,196271.0,PRADIP ADVERTISING & CO.,"13,02,707.30",L5,Technical,Technical bid has been opened,Anurag Goel,28-Aug-2023 12:36 PM,None,Chief Electoral Officer,Internal,,Debajit Baruah,20-Sep-2023 01:32 PM,20-Sep-2023 01:35 PM,techsummary_51184.pdf (404.57 KB),,,
,,,,,,,,,,,,,,,,.pdf,BID document downloaded from the portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID document downloaded from the portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,196620.0,Insight Brandcom Pvt Ltd,25-Aug-2023 10:01 AM,Rejected-AOC,Not Awarded,28-Feb-2024 03:18 PM,,,,,,,,,,,,,2.0,196370.0,Sanket Communications Private Limited,"25,96,774.00",L7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,196624.0,Interactive12,25-Aug-2023 02:51 PM,Rejected-AOC,Not Awarded,28-Feb-2024 03:18 PM,,,,,,,,,,,,,3.0,196421.0,Exclusive Advertising Private Limited,"6,19,043.35",L2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,196710.0,NOVO COMPUTING,25-Aug-2023 03:53 PM,Accepted-AOC,Awarded,28-Feb-2024 03:18 PM,,,,,,,,,,,,,4.0,196441.0,Priya Communication,"8,00,425.00",L3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,196271.0,PRADIP ADVERTISING & CO.,25-Aug-2023 01:42 PM,Rejected-AOC,Not Awarded,28-Feb-2024 03:18 PM,,,,,,,,,,,,,5.0,196514.0,Prodigy Communications And Marketing Pvt. Ltd.,"18,24,546.90",L6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,196441.0,Priya Communication,25-Aug-2023 03:10 PM,Rejected-AOC,Not Awarded,28-Feb-2024 03:18 PM,,,,,,,,,,,,,6.0,196620.0,Insight Brandcom Pvt Ltd,"12,03,515.00",L4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,196514.0,Prodigy Communications And Marketing Pvt. Ltd.,25-Aug-2023 12:19 PM,Rejected-AOC,Not Awarded,28-Feb-2024 03:18 PM,,,,,,,,,,,,,7.0,196624.0,Interactive12,"42,11,717.00",L8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,196370.0,Sanket Communications Private Limited,25-Aug-2023 03:42 PM,Rejected-AOC,Not Awarded,28-Feb-2024 03:18 PM,,,,,,,,,,,,,8.0,196710.0,NOVO COMPUTING,"2,44,680.00",L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,196610.0,Webx Technologies Private Limited,25-Aug-2023 02:36 PM,Rejected-Technical,Technically not qualified. Refer to technical minutes,20-Sep-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023_CEO_31938_1,ELE.229/2019/Pt/153,"OUTREACH AND SOCIAL MEDIA MANAGEMENT UNDER CHIEF ELECTORAL OFFICER, ASSAM"
