Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender ID :,Tender Ref No :,Tender Title :
Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_24_JJM_PB_23_24_T_13165_71,2023_PHED_32115_13,Yes,Open Tender,Works,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,18-Aug-2023 11:00 AM,16-Sep-2023 03:00 PM,18-Aug-2023 11:00 AM,15-Sep-2023 04:00 PM,NA ,NA ,18-Aug-2023 11:00 AM,15-Sep-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,cORRIGENDUM,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 13 FIXATION OF RATES FOR ADDITIONAL ITEM FHTC WITH WATER STORAGE TANK MEANT FOR NEW PWSS UNDER BTAD ZONE UNDER JJM ASSAM,PKG 13 FIXATION OF RATES FOR THE ADDITIONAL ITEM FUNCTIONAL HOUSEHOLD TAP CONNECTION WITH WATER STORAGE TANK MEANT TO BE PROVIDED TO NEW PIPED WATER SUPPLY SCHEMES UNDER BTAD ZONE UNDER JAL JEEVAN MISSION ASSAM,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Tender,180.0,365.0,BTAD ZONE,783370.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_24_JJM_PB_23_24_T_13165_71,2023_PHED_32115_13,Yes,Open Tender,Works,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,18-Aug-2023 11:00 AM,16-Sep-2023 03:00 PM,18-Aug-2023 11:00 AM,15-Sep-2023 04:00 PM,NA ,NA ,18-Aug-2023 11:00 AM,15-Sep-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,cORRIGENDUM,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 13 FIXATION OF RATES FOR ADDITIONAL ITEM FHTC WITH WATER STORAGE TANK MEANT FOR NEW PWSS UNDER BTAD ZONE UNDER JJM ASSAM,PKG 13 FIXATION OF RATES FOR THE ADDITIONAL ITEM FUNCTIONAL HOUSEHOLD TAP CONNECTION WITH WATER STORAGE TANK MEANT TO BE PROVIDED TO NEW PIPED WATER SUPPLY SCHEMES UNDER BTAD ZONE UNDER JAL JEEVAN MISSION ASSAM,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Tender,180.0,365.0,BTAD ZONE,783370.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,26-Jul-2024,INR 1,365.0,Milan Kalita,30-Jul-2024 11:52 AM,RFP_28_BTAD.pdf (512.00 KB),1.0,196316.0,PHE,INR,1.0,1.0,199486.0,ABDUL BATEN,07-Sep-2023 02:22 PM,Accepted-AOC,Awarded,30-Jul-2024 11:55 AM,Finance,Bid has been opened,Milan Kalita,22-Jul-2024 05:20 PM,None,BOQ Comparative Chart,Chief Engineer,Internal,,Milan Kalita,26-Jul-2024 01:17 PM,finsummary_51569.pdf (795.38 KB),1.0,196316.0,PHE,1.0,L1,Chief Engineer,Internal,,Milan Kalita,22-Jul-2024 05:41 PM,techsummary_51569.pdf (795.38 KB),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,196319.0,Hasmat Ali,INR,1.0,2.0,198738.0,ABDUL GOFUR KHAN,06-Sep-2023 05:46 PM,Accepted-AOC,Awarded,30-Jul-2024 11:55 AM,,,,,,,,,,,,,2.0,196319.0,Hasmat Ali,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,196328.0,SRI DIAMOND BASUMATARY,INR,1.0,3.0,201243.0,Abdul Hamid Khan,15-Sep-2023 01:46 AM,Accepted-AOC,Awarded,30-Jul-2024 11:55 AM,,,,,,,,,,,,,3.0,196328.0,SRI DIAMOND BASUMATARY,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,196443.0,ABOY HAJONG,INR,1.0,4.0,198857.0,ABDUL KADER,06-Sep-2023 08:58 PM,Accepted-AOC,Awarded,30-Jul-2024 11:55 AM,,,,,,,,,,,,,4.0,196443.0,ABOY HAJONG,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,196468.0,M/S NARZARY TRADERS,INR,1.0,5.0,200484.0,Abdul Karim,12-Sep-2023 01:55 PM,Accepted-AOC,Awarded,30-Jul-2024 11:55 AM,,,,,,,,,,,,,5.0,196468.0,M/S NARZARY TRADERS,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,196524.0,Nur Alam Haque,INR,1.0,6.0,200999.0,ABDUL KUDDUSH,14-Sep-2023 03:37 PM,Accepted-AOC,Awarded,30-Jul-2024 11:55 AM,,,,,,,,,,,,,6.0,196524.0,Nur Alam Haque,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,196535.0,rahul choudhury,INR,1.0,7.0,199465.0,ABDUL MALIK,07-Sep-2023 02:09 PM,Accepted-AOC,Awarded,30-Jul-2024 11:55 AM,,,,,,,,,,,,,7.0,196535.0,rahul choudhury,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,196543.0,UDAY KR SAHARIAH,INR,1.0,8.0,199303.0,ABDUL MAZID PASHA,07-Sep-2023 12:54 PM,Accepted-AOC,Awarded,30-Jul-2024 11:55 AM,,,,,,,,,,,,,8.0,196543.0,UDAY KR SAHARIAH,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,196594.0,Seacrow EPC Contractors LLP,INR,1.0,9.0,201082.0,ABDUL RASHID,14-Sep-2023 06:42 PM,Accepted-AOC,Awarded,30-Jul-2024 11:55 AM,,,,,,,,,,,,,9.0,196594.0,Seacrow EPC Contractors LLP,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,196611.0,Maiful Khan,INR,1.0,10.0,199220.0,ABDUS SALAM,07-Sep-2023 11:59 AM,Accepted-AOC,Awarded,30-Jul-2024 11:55 AM,,,,,,,,,,,,,10.0,196611.0,Maiful Khan,1.0,L1,,,,,,,,,
